observation_date,APU0000714233
1995-07-01,0.690
1995-08-01,0.687
1995-09-01,0.684
1995-10-01,0.683
1995-11-01,0.673
1995-12-01,0.665
1996-01-01,0.656
1996-02-01,0.661
1996-03-01,0.669
1996-04-01,0.682
1996-05-01,0.671
1996-06-01,0.703
1996-07-01,0.716
1996-08-01,0.712
1996-09-01,0.722
1996-10-01,0.717
1996-11-01,0.708
1996-12-01,0.714
1997-01-01,0.717
1997-02-01,0.721
1997-03-01,0.728
1997-04-01,0.736
1997-05-01,0.726
1997-06-01,0.711
1997-07-01,0.728
1997-08-01,0.729
1997-09-01,0.731
1997-10-01,0.716
1997-11-01,0.699
1997-12-01,0.700
1998-01-01,0.695
1998-02-01,0.692
1998-03-01,0.689
1998-04-01,0.686
1998-05-01,0.691
1998-06-01,0.698
1998-07-01,0.698
1998-08-01,0.689
1998-09-01,0.684
1998-10-01,0.691
1998-11-01,0.679
1998-12-01,0.688
1999-01-01,0.689
1999-02-01,0.696
1999-03-01,0.697
1999-04-01,0.695
1999-05-01,0.700
1999-06-01,0.707
1999-07-01,0.700
1999-08-01,0.703
1999-09-01,0.689
1999-10-01,0.689
1999-11-01,0.704
1999-12-01,0.688
2000-01-01,0.691
2000-02-01,0.683
2000-03-01,0.695
2000-04-01,0.688
2000-05-01,0.687
2000-06-01,0.681
2000-07-01,0.688
2000-08-01,0.681
2000-09-01,0.685
2000-10-01,0.690
2000-11-01,0.690
2000-12-01,0.684
2001-01-01,0.677
2001-02-01,0.686
2001-03-01,0.676
2001-04-01,0.681
2001-05-01,0.679
2001-06-01,0.685
2001-07-01,0.686
2001-08-01,0.687
2001-09-01,0.688
2001-10-01,0.689
2001-11-01,0.699
2001-12-01,0.713
2002-01-01,0.697
2002-02-01,0.718
2002-03-01,0.730
2002-04-01,0.738
2002-05-01,0.713
2002-06-01,0.726
2002-07-01,0.707
2002-08-01,0.724
2002-09-01,0.742
2002-10-01,0.741
2002-11-01,0.757
2002-12-01,0.747
2003-01-01,0.742
2003-02-01,0.756
2003-03-01,0.765
2003-04-01,0.762
2003-05-01,0.758
2003-06-01,0.757
2003-07-01,0.763
2003-08-01,0.754
2003-09-01,0.757
2003-10-01,0.772
2003-11-01,0.767
2003-12-01,0.768
2004-01-01,0.769
2004-02-01,0.769
2004-03-01,0.770
2004-04-01,0.772
2004-05-01,0.741
2004-06-01,0.747
2004-07-01,0.781
2004-08-01,0.778
2004-09-01,0.766
2004-10-01,0.774
2004-11-01,0.775
2004-12-01,0.767
2005-01-01,0.786
2005-02-01,0.803
2005-03-01,0.806
2005-04-01,0.816
2005-05-01,0.795
2005-06-01,0.811
2005-07-01,0.799
2005-08-01,0.802
2005-09-01,0.800
2005-10-01,0.808
2005-11-01,0.803
2005-12-01,0.795
2006-01-01,0.794
2006-02-01,0.792
2006-03-01,0.784
2006-04-01,0.799
2006-05-01,0.828
2006-06-01,0.839
2006-07-01,0.834
2006-08-01,0.838
2006-09-01,0.848
2006-10-01,0.849
2006-11-01,0.838
2006-12-01,0.842
2007-01-01,0.866
2007-02-01,0.854
2007-03-01,0.871
2007-04-01,0.905
2007-05-01,0.945
2007-06-01,0.959
2007-07-01,0.968
2007-08-01,0.969
2007-09-01,0.988
2007-10-01,0.974
2007-11-01,0.996
2007-12-01,1.005
2008-01-01,1.014
2008-02-01,1.072
2008-03-01,1.059
2008-04-01,1.088
2008-05-01,1.167
2008-06-01,1.206
2008-07-01,1.228
2008-08-01,1.251
2008-09-01,1.284
2008-10-01,1.360
2008-11-01,1.402
2008-12-01,1.397
2009-01-01,1.404
2009-02-01,1.377
2009-03-01,1.365
2009-04-01,1.387
2009-05-01,1.412
2009-06-01,1.441
2009-07-01,1.417
2009-08-01,1.370
2009-09-01,1.406
2009-10-01,1.402
2009-11-01,1.382
2009-12-01,1.354
2010-01-01,1.360
2010-02-01,1.354
2010-03-01,1.362
2010-04-01,1.361
2010-05-01,1.343
2010-06-01,1.341
2010-07-01,1.308
2010-08-01,1.310
2010-09-01,1.297
2010-10-01,1.308
2010-11-01,1.241
2010-12-01,1.322
2011-01-01,1.331
2011-02-01,1.336
2011-03-01,1.331
2011-04-01,1.327
2011-05-01,1.345
2011-06-01,1.376
2011-07-01,1.376
2011-08-01,1.314
2011-09-01,1.317
2011-10-01,1.396
2011-11-01,1.400
2011-12-01,1.418
2012-01-01,1.431
2012-02-01,1.436
2012-03-01,1.445
2012-04-01,1.451
2012-05-01,1.426
2012-06-01,1.444
2012-07-01,1.433
2012-08-01,1.433
2012-09-01,1.422
2012-10-01,1.450
2012-11-01,1.427
2012-12-01,1.442
2013-01-01,1.434
2013-02-01,1.421
2013-03-01,1.408
2013-04-01,1.391
2013-05-01,1.389
2013-06-01,1.400
2013-07-01,1.418
2013-08-01,1.429
2013-09-01,1.424
2013-10-01,1.411
2013-11-01,1.460
2013-12-01,1.452
2014-01-01,1.468
2014-02-01,1.487
2014-03-01,1.480
2014-04-01,1.481
2014-05-01,1.457
2014-06-01,1.476
2014-07-01,1.477
2014-08-01,1.472
2014-09-01,1.496
2014-10-01,1.459
2014-11-01,1.464
2014-12-01,1.476
2015-01-01,1.452
2015-02-01,1.484
2015-03-01,1.472
2015-04-01,1.510
2015-05-01,1.486
2015-06-01,1.486
2015-07-01,1.483
2015-08-01,1.484
2015-09-01,1.469
2015-10-01,1.482
2015-11-01,1.514
2015-12-01,1.511
2016-01-01,1.466
2016-02-01,1.485
2016-03-01,1.488
2016-04-01,1.468
2016-05-01,1.396
2016-06-01,1.408
2016-07-01,1.404
2016-08-01,1.364
2016-09-01,1.370
2016-10-01,1.350
2016-11-01,1.384
2016-12-01,1.364
2017-01-01,1.350
2017-02-01,1.357
2017-03-01,1.371
2017-04-01,1.354
2017-05-01,1.360
2017-06-01,1.350
2017-07-01,1.354
2017-08-01,1.349
2017-09-01,1.344
2017-10-01,1.362
2017-11-01,1.371
2017-12-01,1.368
2018-01-01,1.327
2018-02-01,1.316
2018-03-01,1.306
2018-04-01,1.308
2018-05-01,1.378
2018-06-01,1.358
2018-07-01,1.342
2018-08-01,1.355
2018-09-01,1.335
2018-10-01,1.351
2018-11-01,1.364
2018-12-01,1.368
2019-01-01,1.343
2019-02-01,1.342
2019-03-01,1.335
2019-04-01,1.339
2019-05-01,1.298
2019-06-01,1.316
2019-07-01,1.345
2019-08-01,1.329
2019-09-01,1.324
2019-10-01,1.347
2019-11-01,1.410
2019-12-01,1.402
2020-01-01,1.432
2020-02-01,1.461
2020-03-01,1.488
2020-04-01,
2020-05-01,
2020-06-01,1.422
2020-07-01,1.415
2020-08-01,1.445
2020-09-01,1.424
2020-10-01,1.410
2020-11-01,1.391
2020-12-01,1.404
2021-01-01,1.433
2021-02-01,1.448
2021-03-01,1.459
2021-04-01,1.457
2021-05-01,1.420
2021-06-01,1.421
2021-07-01,1.426
2021-08-01,1.429
2021-09-01,1.445
2021-10-01,1.460
2021-11-01,1.474
2021-12-01,1.504
2022-01-01,1.509
2022-02-01,1.546
2022-03-01,1.625
2022-04-01,1.628
2022-05-01,1.640
2022-06-01,1.639
2022-07-01,1.673
2022-08-01,1.677
2022-09-01,1.677
2022-10-01,1.675
2022-11-01,1.664
2022-12-01,1.700
2023-01-01,1.703
2023-02-01,1.697
2023-03-01,1.687
2023-04-01,1.659
2023-05-01,1.695
2023-06-01,1.707
2023-07-01,1.721
2023-08-01,1.702
2023-09-01,1.715
2023-10-01,1.625
2023-11-01,1.574
2023-12-01,1.592
2024-01-01,1.589
2024-02-01,1.625
2024-03-01,1.648
2024-04-01,1.647
2024-05-01,1.703
2024-06-01,1.681
2024-07-01,1.713
2024-08-01,1.711
2024-09-01,1.705
2024-10-01,1.678
2024-11-01,1.651
2024-12-01,1.655
2025-01-01,1.654
2025-02-01,1.631
